k_step      t_sim  nID  pos    Ground Truth (x,y)    Prediction   (x,y)  tID  s0_OK  DMiss  TLost  in_e2e_delay
    54        531    0    0      83.35      77.54      83.38       77.2    0      1      0      0          0
    54        531    1    0      83.35      77.54      83.84      77.99    0      1      0      0          0
    54        531    2    0      83.35      77.54      82.87      76.32    0      1      0      0          0
    54        531    3    0      83.35      77.54      83.67      76.73    0      1      0      0          0
    55        541    0    0      82.38      76.78      81.56      76.04    0      1      0      0          0
    55        541    1    0      82.38      76.78       82.6      76.61    0      1      0      0          0
    55        541    2    0      82.38      76.78      80.39      77.21    0      1      0      0          0
    55        541    3    0      82.38      76.78      82.94      76.24    0      1      0      0          0
    56        551    0    0      82.38      76.78      83.28      75.99    0      1      0      0          0
    56        551    1    0      82.38      76.78      82.01      76.67    0      1      0      0          0
    56        551    2    0      82.38      76.78      83.41      75.59    0      1      0      0          0
    56        551    3    0      82.38      76.78      82.18      77.09    0      1      0      0          0
    57        561    0    0      81.06      75.97      81.36      76.18    0      1      0      0          0
    57        561    1    0      81.06      75.97      81.13      75.12    0      1      0      0          0
    57        561    2    0      81.06      75.97       81.1      75.27    0      1      0      0          0
    57        561    3    0      81.06      75.97      80.59      75.16    0      1      0      0          0
    58        571    0    0      81.06      75.97      81.31      74.35    0      1      0      0          0
    58        571    1    0      81.06      75.97      80.27      76.03    0      1      0      0          0
    58        571    2    0      81.06      75.97      80.98      76.32    0      1      0      0          0
    58        571    3    0      81.06      75.97      80.46      76.04    0      1      0      0          0
    59        581    0    0      79.69      74.78      78.63      75.26    0      1      0      0          0
    59        581    1    0      79.69      74.78      79.08      73.82    0      1      0      0          0
    59        581    2    0      79.69      74.78      79.85      75.22    0      1      0      0          0
    59        581    3    0      79.69      74.78      80.46      75.06    0      1      0      0          0
    60        591    0    0      79.69      74.78      78.84       74.1    0      1      0      0          0
    60        591    1    0      79.69      74.78      79.15      75.09    0      1      0      0          0
    60        591    2    0      79.69      74.78      78.76      74.81    0      1      0      0          0
    60        591    3    0      79.69      74.78      79.47      75.96    0      1      0      0          0
    61        601    0    0      78.36      73.86      77.87      73.52    0      1      0      0          0
    61        601    1    0      78.36      73.86      79.66      75.08    0      1      0      0          0
    61        601    2    0      78.36      73.86      78.66      74.47    0      1      0      0          0
    61        601    3    0      78.36      73.86      78.16      74.01    0      1      0      0          0
    62        611    0    0      78.36      73.86       77.9      71.94    0      1      0      0          0
    62        611    1    0      78.36      73.86      76.95      71.86    0      1      0      0          0
    62        611    2    0      78.36      73.86      78.12      73.58    0      1      0      0          0
    62        611    3    0      78.36      73.86      78.16      73.64    0      1      0      0          0
    63        621    0    0      77.42      72.82       77.2      72.68    0      1      0      0          0
    63        621    1    0      77.42      72.82      76.79      72.02    0      1      0      0          0
    63        621    2    0      77.42      72.82      77.84      72.13    0      1      0      0          0
    63        621    3    0      77.42      72.82      76.91      72.59    0      1      0      0          0
    64        631    0    0      77.42      72.82      78.38      72.94    0      1      0      0          0
    64        631    1    0      77.42      72.82      77.13      72.86    0      1      0      0          0
    64        631    2    0      77.42      72.82      77.56      72.35    0      1      0      0          0
    64        631    3    0      77.42      72.82       77.3      72.87    0      1      0      0          0
    65        641    0    0      76.24      71.87      76.97       73.2    0      1      0      0          0
    65        641    1    0      76.24      71.87      75.86      71.97    0      1      0      0          0
    65        641    2    0      76.24      71.87      77.08      70.94    0      1      0      0          0
    65        641    3    0      76.24      71.87      76.28      71.63    0      1      0      0          0
    66        651    0    0      76.24      71.87      75.12       72.9    0      1      0      0          0
    66        651    1    0      76.24      71.87      76.63      71.44    0      1      0      0          0
    66        651    2    0      76.24      71.87      75.83      72.18    0      1      0      0          0
    66        651    3    0      76.24      71.87      76.74      71.45    0      1      0      0          0
    67        661    0    0      74.96       70.7       74.1      70.29    0      1      0      0          0
    67        661    1    0      74.96       70.7       74.1      70.01    0      1      0      0          0
    67        661    2    0      74.96       70.7       74.9      70.87    0      1      0      0          0
    67        661    3    0      74.96       70.7      74.36      71.25    0      1      0      0          0
    68        671    0    0      74.96       70.7      75.09      69.83    0      1      0      0          0
    68        671    1    0      74.96       70.7      75.17      70.61    0      1      0      0          0
    68        671    2    0      74.96       70.7       75.4      70.96    0      1      0      0          0
    68        671    3    0      74.96       70.7      74.93      70.79    0      1      0      0          0
    69        681    0    0         74      69.77      73.59      70.24    0      1      0      0          0
    69        681    1    0         74      69.77      74.02      70.78    0      1      0      0          0
    69        681    2    0         74      69.77      73.72      70.11    0      1      0      0          0
    69        681    3    0         74      69.77      74.61      70.56    0      1      0      0          0
    70        691    0    0         74      69.77      73.67      70.19    0      1      0      0          0
    70        691    1    0         74      69.77      74.25       69.2    0      1      0      0          0
    70        691    2    0         74      69.77      73.89      69.65    0      1      0      0          0
    70        691    3    0         74      69.77      72.81      70.11    0      1      0      0          0
    71        701    0    0      72.88      68.52      73.05      69.03    0      1      0      0          0
    71        701    1    0      72.88      68.52      73.12      68.17    0      1      0      0          0
    71        701    2    0      72.88      68.52      73.57      68.18    0      1      0      0          0
    71        701    3    0      72.88      68.52      74.43      68.32    0      1      0      0          0
    72        711    0    0      72.88      68.52      72.01      68.24    0      1      0      0          0
    72        711    1    0      72.88      68.52      72.61      68.56    0      1      0      0          0
    72        711    2    0      72.88      68.52      72.68       68.9    0      1      0      0          0
    72        711    3    0      72.88      68.52      72.75      67.84    0      1      0      0          0
    73        721    0    0      73.32      67.33      73.47       67.2    0      1      0      0          0
    73        721    1    0      73.32      67.33      72.32      66.85    0      1      0      0          0
    73        721    2    0      73.32      67.33      74.55       67.1    0      1      0      0          0
    73        721    3    0      73.32      67.33      73.74      67.56    0      1      0      0          0
    74        731    0    0      73.32      67.33      73.69      68.04    0      1      0      0          0
    74        731    1    0      73.32      67.33      73.39      68.05    0      1      0      0          0
    74        731    2    0      73.32      67.33      73.36      67.14    0      1      0      0          0
    74        731    3    0      73.32      67.33      72.67      67.17    0      1      0      0          0
    75        741    0    0      73.34      66.81      73.34      65.83    0      1      0      0          0
    75        741    1    0      73.34      66.81      73.66      66.01    0      1      0      0          0
    75        741    2    0      73.34      66.81      73.08      66.95    0      1      0      0          0
    75        741    3    0      73.34      66.81      73.71      66.74    0      1      0      0          0
    76        751    0    0      73.34      66.81      73.45      66.34    0      1      0      0          0
    76        751    1    0      73.34      66.81      72.11      68.59    0      1      0      0          0
    76        751    2    0      73.34      66.81      73.14      66.92    0      1      0      0          0
    76        751    3    0      73.34      66.81      73.52      66.78    0      1      0      0          0
    77        761    0    0       73.6      66.29      74.03      66.59    0      1      0      0          0
    77        761    1    0       73.6      66.29      75.26      66.21    0      1      0      0          0
    77        761    2    0       73.6      66.29      73.71      66.08    0      1      0      0          0
    77        761    3    0       73.6      66.29      74.76      66.82    0      1      0      0          0
    78        771    0    0       73.6      66.29      73.51      65.47    0      1      0      0          0
    78        771    1    0       73.6      66.29       73.8      65.62    0      1      0      0          0
    78        771    2    0       73.6      66.29      73.41      66.51    0      1      0      0          0
    78        771    3    0       73.6      66.29      73.12      66.24    0      1      0      0          0
    79        781    0    0      74.42      65.85      74.27      66.05    0      1      0      0          0
    79        781    1    0      74.42      65.85      73.86       66.5    0      1      0      0          0
    79        781    2    0      74.42      65.85      73.92      65.54    0      1      0      0          0
    79        781    3    0      74.42      65.85       74.5      65.29    0      1      0      0          0
    80        791    0    0      74.42      65.85         74      67.18    0      1      0      0          0
    80        791    1    0      74.42      65.85      75.41      65.27    0      1      0      0          0
    80        791    2    0      74.42      65.85      74.38      65.83    0      1      0      0          0
    80        791    3    0      74.42      65.85      74.32       64.9    0      1      0      0          0
    81        801    0    0      75.34      65.28      74.58      65.86    0      1      0      0          0
    81        801    1    0      75.34      65.28      75.55      64.35    0      1      0      0          0
    81        801    2    0      75.34      65.28      74.03      64.78    0      1      0      0          0
    81        801    3    0      75.34      65.28      74.99       66.1    0      1      0      0          0
    82        811    0    0      75.34      65.28      74.93      65.52    0      1      0      0          0
    82        811    1    0      75.34      65.28      74.69      65.54    0      1      0      0          0
    82        811    2    0      75.34      65.28      75.09      64.69    0      1      0      0          0
    82        811    3    0      75.34      65.28      76.62      65.17    0      1      0      0          0
    83        821    0    0      75.97      64.76      75.34      65.27    0      1      0      0          0
    83        821    1    0      75.97      64.76       75.8      65.43    0      1      0      0          0
    83        821    2    0      75.97      64.76      76.36      64.87    0      1      0      0          0
    83        821    3    0      75.97      64.76      76.11      64.85    0      1      0      0          0
    84        831    0    0      75.97      64.76      75.88      65.58    0      1      0      0          0
    84        831    1    0      75.97      64.76       75.6      64.92    0      1      0      0          0
    84        831    2    0      75.97      64.76      77.27      65.48    0      1      0      0          0
    84        831    3    0      75.97      64.76      76.12      65.07    0      1      0      0          0
    85        841    0    0      76.95      64.39      77.66      64.59    0      1      0      0          0
    85        841    1    0      76.95      64.39       77.5      66.29    0      1      0      0          0
    85        841    2    0      76.95      64.39      77.15      64.02    0      1      0      0          0
    85        841    3    0      76.95      64.39      76.87      64.18    0      1      0      0          0
    86        851    0    0      76.95      64.39      77.63      64.62    0      1      0      0          0
    86        851    1    0      76.95      64.39      77.03      64.57    0      1      0      0          0
    86        851    2    0      76.95      64.39      76.37      64.42    0      1      0      0          0
    86        851    3    0      76.95      64.39      76.56      64.11    0      1      0      0          0
    87        861    0    0      77.77      64.11      77.56      63.79    0      1      0      0          0
    87        861    1    0      77.77      64.11      77.42      63.96    0      1      0      0          0
    87        861    2    0      77.77      64.11      77.78      64.53    0      1      0      0          0
    87        861    3    0      77.77      64.11      75.67      63.41    0      1      0      0          0
    88        871    0    0      77.77      64.11      78.59       64.6    0      1      0      0          0
    88        871    1    0      77.77      64.11      78.82      63.41    0      1      0      0          0
    88        871    2    0      77.77      64.11      78.21      64.61    0      1      0      0          0
    88        871    3    0      77.77      64.11      77.63       64.2    0      1      0      0          0
    89        881    0    0      78.63      63.55      78.53      62.08    0      1      0      0          0
    89        881    1    0      78.63      63.55         78      63.22    0      1      0      0          0
    89        881    2    0      78.63      63.55      78.64      63.87    0      1      0      0          0
    89        881    3    0      78.63      63.55      78.73      63.47    0      1      0      0          0
    90        891    0    0      78.63      63.55      78.82         64    0      1      0      0          0
    90        891    1    0      78.63      63.55      79.01      63.53    0      1      0      0          0
    90        891    2    0      78.63      63.55      79.55      64.39    0      1      0      0          0
    90        891    3    0      78.63      63.55      78.27      63.58    0      1      0      0          0
    91        901    0    0      79.36      63.06      79.55      62.68    0      1      0      0          0
    91        901    1    0      79.36      63.06      79.05      63.29    0      1      0      0          0
    91        901    2    0      79.36      63.06      79.36      63.93    0      1      0      0          0
    91        901    3    0      79.36      63.06      79.77      62.97    0      1      0      0          0
    92        911    0    0      79.36      63.06      79.78      63.54    0      1      0      0          0
    92        911    1    0      79.36      63.06      79.79         63    0      1      0      0          0
    92        911    2    0      79.36      63.06      78.95      63.24    0      1      0      0          0
    92        911    3    0      79.36      63.06      78.62      63.25    0      1      0      0          0
    93        921    0    0      79.98      62.45      79.74      62.58    0      1      0      0          0
    93        921    1    0      79.98      62.45      80.62      61.88    0      1      0      0          0
    93        921    2    0      79.98      62.45      80.01      62.01    0      1      0      0          0
    93        921    3    0      79.98      62.45      79.65      62.48    0      1      0      0          0
    94        931    0    0      79.98      62.45      80.69      61.76    0      1      0      0          0
    94        931    1    0      79.98      62.45      81.44      61.64    0      1      0      0          0
    94        931    2    0      79.98      62.45      80.22      62.32    0      1      0      0          0
    94        931    3    0      79.98      62.45      80.59      62.61    0      1      0      0          0
    95        941    0    0      80.71      61.82      81.06      61.55    0      1      0      0          0
    95        941    1    0      80.71      61.82       80.6      61.54    0      1      0      0          0
    95        941    2    0      80.71      61.82      80.24      61.87    0      1      0      0          0
    95        941    3    0      80.71      61.82      80.46      61.75    0      1      0      0          0
    96        951    0    0      80.71      61.82      80.37      61.96    0      1      0      0          0
    96        951    1    0      80.71      61.82      80.52      61.81    0      1      0      0          0
    96        951    2    0      80.71      61.82      80.96      61.64    0      1      0      0          0
    96        951    3    0      80.71      61.82      80.58      61.53    0      1      0      0          0
    97        961    0    0       81.6      61.37      81.55      62.38    0      1      0      0          0
    97        961    1    0       81.6      61.37       81.4      61.76    0      1      0      0          0
    97        961    2    0       81.6      61.37      80.81      62.46    0      1      0      0          0
    97        961    3    0       81.6      61.37      81.82      60.55    0      1      0      0          0
    98        971    0    0       81.6      61.37      81.05      61.51    0      1      0      0          0
    98        971    1    0       81.6      61.37      82.07      61.01    0      1      0      0          0
    98        971    2    0       81.6      61.37      83.03      62.21    0      1      0      0          0
    98        971    3    0       81.6      61.37      81.17      61.89    0      1      0      0          0
    99        981    0    0      82.35      60.81      82.55      59.66    0      1      0      0          0
    99        981    1    0      82.35      60.81      82.42      60.72    0      1      0      0          0
    99        981    2    0      82.35      60.81      82.49      60.83    0      1      0      0          0
    99        981    3    0      82.35      60.81      82.34      60.93    0      1      0      0          0
   100        991    0    0      82.35      60.81      81.87      60.22    0      1      0      0          0
   100        991    1    0      82.35      60.81      83.25      60.96    0      1      0      0          0
   100        991    2    0      82.35      60.81      82.59       61.3    0      1      0      0          0
   100        991    3    0      82.35      60.81      82.77      61.37    0      1      0      0          0
   101       1001    0    0      83.31      60.62      83.58      61.39    0      1      0      0          0
   101       1001    1    0      83.31      60.62      83.52      60.15    0      1      0      0          0
