k_step      t_sim  nID    Ground Truth (x,y)    Prediction   (x,y)  tID  TLost      delay_A    dalay_B
    66        651    2      76.24      71.87      75.83      72.18    0      0          0          0  
    66        651    3      76.24      71.87      76.74      71.45    0      0          0          0  
    67        661    0      74.96       70.7       74.1      70.29    0      0          0          0  
    67        661    1      74.96       70.7       74.1      70.01    0      0          0          0  
    67        661    2      74.96       70.7       74.9      70.87    0      0          0          0  
    67        661    3      74.96       70.7      74.36      71.25    0      0          0          0  
    68        671    0      74.96       70.7      75.09      69.83    0      0          0          0  
    68        671    1      74.96       70.7      75.17      70.61    0      0          0          0  
    68        671    2      74.96       70.7       75.4      70.96    0      0          0          0  
    68        671    3      74.96       70.7      74.93      70.79    0      0          0          0  
    69        681    0         74      69.77      73.59      70.24    0      0          0          0  
    69        681    1         74      69.77      74.02      70.78    0      0          0          0  
    69        681    2         74      69.77      73.72      70.11    0      0          0          0  
    69        681    3         74      69.77      74.61      70.56    0      0          0          0  
    70        691    0         74      69.77      73.67      70.19    0      0          0          0  
    70        691    1         74      69.77      74.25       69.2    0      0          0          0  
    70        691    2         74      69.77      73.89      69.65    0      0          0          0  
    70        691    3         74      69.77      72.81      70.11    0      0          0          0  
    71        701    0      72.88      68.52      73.05      69.03    0      0          0          0  
    71        701    1      72.88      68.52      73.12      68.17    0      0          0          0  
    71        701    2      72.88      68.52      73.57      68.18    0      0          0          0  
    71        701    3      72.88      68.52      74.43      68.32    0      0          0          0  
    72        711    0      72.88      68.52      72.01      68.24    0      0          0          0  
    72        711    1      72.88      68.52      72.61      68.56    0      0          0          0  
    72        711    2      72.88      68.52      72.68       68.9    0      0          0          0  
    72        711    3      72.88      68.52      72.75      67.84    0      0          0          0  
    73        721    0      73.32      67.33      73.47       67.2    0      0          0          0  
    73        721    1      73.32      67.33      72.32      66.85    0      0          0          0  
    73        721    2      73.32      67.33      74.55       67.1    0      0          0          0  
    73        721    3      73.32      67.33      73.74      67.56    0      0          0          0  
    74        731    0      73.32      67.33      73.69      68.04    0      0          0          0  
    74        731    1      73.32      67.33      73.39      68.05    0      0          0          0  
    74        731    2      73.32      67.33      73.36      67.14    0      0          0          0  
    74        731    3      73.32      67.33      72.67      67.17    0      0          0          0  
    75        741    0      73.34      66.81      73.34      65.83    0      0          0          0  
    75        741    1      73.34      66.81      73.66      66.01    0      0          0          0  
    75        741    2      73.34      66.81      73.08      66.95    0      0          0          0  
    75        741    3      73.34      66.81      73.71      66.74    0      0          0          0  
    76        751    0      73.34      66.81      73.45      66.34    0      0          0          0  
    76        751    1      73.34      66.81      72.11      68.59    0      0          0          0  
    76        751    2      73.34      66.81      73.14      66.92    0      0          0          0  
    76        751    3      73.34      66.81      73.52      66.78    0      0          0          0  
    77        761    0       73.6      66.29      74.03      66.59    0      0          0          0  
    77        761    1       73.6      66.29      75.26      66.21    0      0          0          0  
    77        761    2       73.6      66.29      73.71      66.08    0      0          0          0  
    77        761    3       73.6      66.29      74.76      66.82    0      0          0          0  
    78        771    0       73.6      66.29      73.51      65.47    0      0          0          0  
    78        771    1       73.6      66.29       73.8      65.62    0      0          0          0  
    78        771    2       73.6      66.29      73.41      66.51    0      0          0          0  
    78        771    3       73.6      66.29      73.12      66.24    0      0          0          0  
    79        781    0      74.42      65.85      74.27      66.05    0      0          0          0  
